epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_roc_auc
1,0.03687356537363484,0.0281391352647619,0.9942720900988986,0.9956378129677872,0.49009884987460506
2,0.03612029757609867,0.028432260330975165,0.9942720900988986,0.9956378129677872,0.5021547835694893
3,0.035896517128592806,0.02813319119275673,0.9942738329590541,0.9956378129677872,0.505554398716394
4,0.035707257780298665,0.028107679556029493,0.9942738329590541,0.9956378129677872,0.5032576799358671
5,0.035642358370052106,0.028471928024083413,0.9942738329590541,0.9956378129677872,0.4787515479511271
6,0.035668281988432415,0.028412486441082758,0.9942738329590541,0.9956378129677872,0.49556126207736306
7,0.03554173114769859,0.028075803861981507,0.9942738329590541,0.9956378129677872,0.492161513158569
8,0.03556396313549778,0.02821866594026359,0.9942729615289764,0.9956378129677872,0.49508601478546166
9,0.035494130309088906,0.028251291818955842,0.9942738329590541,0.9956378129677872,0.4583391518711181
10,0.03553568782904612,0.028340932339908243,0.9942738329590541,0.9956378129677872,0.5344844350473288
11,0.03551393186664355,0.028322784440889873,0.9942738329590541,0.9956378129677872,0.4809378962924798
12,0.035537058558511476,0.02842354910241659,0.9942729615289764,0.9956378129677872,0.47974897812840395
