epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_roc_auc
1,0.14103543786510744,0.1849266628059974,0.9397078436261578,0.9501751434109671,0.9679278494034668
2,0.09009678689445622,0.1650038224774056,0.960541021263239,0.9527826155405339,0.9797437155355373
3,0.07669692278422292,0.20874189530014955,0.9660468936729346,0.9525489270006199,0.9491445379608977
4,0.06958459652343803,0.1661656880350479,0.9690287882936347,0.9583370231523846,0.9755739464111931
5,0.0642981127595488,0.15609395666954537,0.9708706466478654,0.9588904960100757,0.9722709887860463
6,0.06053583349380244,0.16752781189804627,0.9723748422938508,0.9574563863388139,0.9684050077273871
7,0.05742255933963141,0.1753468000268465,0.9737098668848,0.9516510710314766,0.9772333547626414
8,0.05490241729240105,0.1576036620858815,0.9748132154525869,0.9629296179315366,0.9773365232493012
9,0.053083155600407876,0.18078873394470613,0.9756950790246236,0.9600589387096456,0.9694664304468477
10,0.051419655431162434,0.17228354436188034,0.9761332932033321,0.9610699491296947,0.970678270429886
