epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_roc_auc
1,0.2371321535857951,0.16497728359342215,0.9012636268804426,0.9441345720032619,0.9687858442229833
2,0.192717105524329,0.1606047164786373,0.921931778668511,0.9470133497505521,0.9714770200193035
3,0.1798910078095278,0.15557481866369688,0.9259705404220071,0.9505692609100335,0.9734987240579954
4,0.17169804164136315,0.15694228764059237,0.9280924001947896,0.9496404121828675,0.972924122865766
5,0.16445538889266545,0.1427866802447197,0.9305395813723829,0.9543119409902442,0.9761772110014807
6,0.15952495386422047,0.13902704493927343,0.9318257950048464,0.9545106231548883,0.9770700460149547
7,0.15606916349401334,0.15550340893664438,0.9325102967143494,0.9522736233862358,0.9742212211458154
8,0.15334979920508757,0.13888220337207025,0.9328941016735,0.9566380979391625,0.9785190983909211
9,0.151384957320502,0.13886071764028846,0.9332077475955936,0.956977048943449,0.9786376043629494
10,0.1497981644571177,0.15031637152417318,0.933616071068451,0.9553599221565585,0.9754211880380769
11,0.14838917873698818,0.1441334609055916,0.9339191029153469,0.9562595642212236,0.9769691078444181
12,0.14705920640845951,0.1353049380481498,0.9342964332886269,0.9574401282633641,0.9778817256515251
13,0.1459068268947037,0.13195853041697272,0.9345541430344282,0.9562668658868487,0.9793203234648288
14,0.14476034518181927,0.15753594460199696,0.934876386357432,0.9552388682264562,0.9720606189522643
15,0.1439301364012754,0.13589504603092314,0.9352639062429018,0.9572548965353981,0.9783115150179978
16,0.14302697649370383,0.14998834694790716,0.9355166273733603,0.9550355744835225,0.9757902429837968
17,0.14215425989591374,0.14730679386846965,0.9359436316185658,0.9551454837660915,0.9759507977161347
18,0.14135431243369917,0.1434393577461634,0.9362790363948147,0.9553268725121495,0.9786558891327113
