epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_roc_auc
1,0.036382914055266585,0.028627360647524747,0.9942132080555911,0.9955695285685805,0.49242432239240486
2,0.03592241415381024,0.028621079983652906,0.9942133441481558,0.9955695285685805,0.5025111970831221
3,0.03585343137882352,0.029095569810015997,0.9942126636853322,0.9955657038387379,0.5154852733057076
4,0.03587922165558772,0.0284355004526151,0.9942134802407205,0.9955695285685805,0.5036065151293424
5,0.035913335324319014,0.028496928134023946,0.9942141607035441,0.9955695285685805,0.5048502644773548
6,0.03587420554329481,0.028514547708509055,0.9942142967961088,0.9955695285685805,0.48939321432696825
7,0.03581169302288983,0.028529747188594804,0.994214705073803,0.9955695285685805,0.501177316667422
8,0.035868748367894034,0.028430252718788865,0.994214705073803,0.9955695285685805,0.4934751731184567
9,0.03585342168958922,0.02843595600438268,0.994214705073803,0.9955695285685805,0.5108801001684216
10,0.035826053175240964,0.02857379230373488,0.994214705073803,0.9955695285685805,0.5030984281947705
11,0.03584782158944054,0.028511203105941074,0.994214705073803,0.9955695285685805,0.5027306816753943
12,0.0358645620522393,0.02848575966989646,0.994214705073803,0.9955695285685805,0.5034181239158014
13,0.035866454051232274,0.029404190361071204,0.994214705073803,0.9955695285685805,0.49999343395197804
